url	download_complete
testlab.ics.uci.edu/data/projects.html	complete
wics.ics.uci.edu/event/anteater-involvement-fair-4	complete
www.ics.uci.edu/community/news/notes_2009	complete
mailman.ics.uci.edu/mailman/listinfo/icsb-mjolsness-tutorial	complete
www.ics.uci.edu/ugrad/advising/ICS New Student Welcome	complete
wics.ics.uci.edu/cia-info-session-with-wics	complete
mailman.ics.uci.edu/mailman/admin/cypress	complete
www.ics.uci.edu/community/news/spotlight_srivastava	complete
wics.ics.uci.edu/wics-fall-quarter-week-1-first-general-meeting	complete
ngs.ics.uci.edu/tag/navigation	complete
www.ics.uci.edu/community/news/spotlight_welcome_2011	complete
mailman.ics.uci.edu/mailman/listinfo/cypress	complete
www.ics.uci.edu/about/bren_about	complete
www.ics.uci.edu/community/events/openhouse/gallery_04.html	complete
www.ics.uci.edu/faculty/area_scientific	complete
emj.ics.uci.edu/teaching	complete
ngs.ics.uci.edu/complete-sensual-immersion-holodeck-reality	complete
ngs.ics.uci.edu/capturing-experiences	complete
cml.ics.uci.edu/2007/08/2007_jcdl	complete
www.ics.uci.edu/research.html	complete
www.ics.uci.edu/about/search/search_communications	complete
ngs.ics.uci.edu/entrepreneurship/current-companies	complete
computableplant.ics.uci.edu/gallery/gallery.html	complete
isg.ics.uci.edu/events.html	complete
ngs.ics.uci.edu/pragyan-2010-at-nit-trichy	complete
ngs.ics.uci.edu/mobile-money-or-power-of-mobile-phones-to-transform	complete
ngs.ics.uci.edu/tag/cyber	complete
wics.ics.uci.edu/event/mock-technical-interview	complete
ngs.ics.uci.edu/observation-systems	complete
wics.ics.uci.edu/first-android-app-development-meeting	complete
sdcl.ics.uci.edu/2012/11/affinity-diagramming	complete
grape.ics.uci.edu/wiki/public/raw-attachment/wiki/cs122b-2017-winter-project2/TomcatForm.war	complete
ngs.ics.uci.edu/multimedia-text-book	complete
grape.ics.uci.edu/wiki/public/attachment/wiki/cs122b-2018-winter-project5/000-default.conf	complete
wics.ics.uci.edu/first-wics-meeting-of-winter-14	complete
honors.ics.uci.edu/step-3-finding-a-faculty-advisor-and-taking-cs-h198	complete
www.ics.uci.edu/computing/linux/services	complete
sdcl.ics.uci.edu/author/andre/page/8	complete
sdcl.ics.uci.edu/author/andre/page/9	complete
sdcl.ics.uci.edu/author/andre/page/6	complete
sdcl.ics.uci.edu/author/andre/page/7	complete
sdcl.ics.uci.edu/author/andre/page/4	complete
www.ics.uci.edu/about/bren/bren_advance	complete
sdcl.ics.uci.edu/author/andre/page/2	complete
sdcl.ics.uci.edu/author/andre/page/3	complete
www.ics.uci.edu/ugrad/policies/Change_of_Major	complete
ngs.ics.uci.edu/tag/summarization	complete
swiki.ics.uci.edu/doku.php/projects:maint-winter-2019	complete
swiki.ics.uci.edu/doku.php/brownbags	complete
wics.ics.uci.edu/category/news/page/9	complete
wics.ics.uci.edu/category/news/page/8	complete
matt-smith-v2.ics.uci.edu/dutran/wordpress/about	complete
ngs.ics.uci.edu/photo-album-2015-breaking-the-boundaries	complete
www.ics.uci.edu/about/2005-06	complete
wics.ics.uci.edu/category/news/page/3	complete
wics.ics.uci.edu/category/news/page/2	complete
wics.ics.uci.edu/category/news/page/5	complete
wics.ics.uci.edu/category/news/page/4	complete
wics.ics.uci.edu/wics-fall-quarter-week-9-casino-night	complete
wics.ics.uci.edu/category/news/page/6	complete
ngs.ics.uci.edu/from-gopher-to-google-for-eventweb	complete
grape.ics.uci.edu/wiki/public/wiki/cs122b-2017-spring	complete
grape.ics.uci.edu/wiki/public/attachment/wiki/cs122b-2018-spring-project5/query_load.txt	complete
sdcl.ics.uci.edu/2015/06/end-of-quarter-lunch-2	complete
ngs.ics.uci.edu/the-nets-next-10-years	complete
grape.ics.uci.edu/wiki/public/raw-attachment/wiki/cs122b-2017-winter-project5/TomcatTest.war	complete
grape.ics.uci.edu/wiki/public/wiki/cs122b-2012-spring	complete
sdcl.ics.uci.edu/research	complete
www.ics.uci.edu/community/news/spotlight_gibas	complete
ngs.ics.uci.edu/search-andor-media	complete
wics.ics.uci.edu/events/2018-02-05	complete
grape.ics.uci.edu/wiki/public/wiki/cs222p-2017-fall-project2-grading	complete
wics.ics.uci.edu/category/news	complete
flamingo.ics.uci.edu/releases/src	complete
sdcl.ics.uci.edu/2013/03/arie-van-deursen-visit	complete
wics.ics.uci.edu/events/2017-11-23	complete
wics.ics.uci.edu/events/2017-11-22	complete
wics.ics.uci.edu/events/2017-11-21	complete
wics.ics.uci.edu/events/2017-11-20	complete
computableplant.ics.uci.edu/2006/phyllotaxis05/pathwayV5.nb	complete
wics.ics.uci.edu/events/2017-11-26	complete
mhcid.ics.uci.edu/program/events/career-conference	complete
wics.ics.uci.edu/events/2017-11-24	complete
wics.ics.uci.edu/fall-quarter-2016-week-6-facebook-diversity-panel	complete
mailman.ics.uci.edu/pipermail/collapseomatic	complete
sdcl.ics.uci.edu/opportunities	complete
cml.ics.uci.edu/2014/03/spring-2014	complete
wics.ics.uci.edu/events/2018-01-29	complete
cloudberry.ics.uci.edu/hello-world	complete
www.ics.uci.edu/grad/funding	complete
www.ics.uci.edu/community/news/spotlight_lamb	complete
wics.ics.uci.edu/events/2018-01-20	complete
wics.ics.uci.edu/events/2018-01-23	complete
wics.ics.uci.edu/events/2018-01-22	complete
ngs.ics.uci.edu/convergence-in-search-and-databases	complete
mailman.ics.uci.edu/mailman/private/hanalab-researchers	complete
cml.ics.uci.edu/books	complete
cml.ics.uci.edu/2007/12/2007_nips	complete
