url	download_complete
testlab.ics.uci.edu/data/projects.html	complete
wics.ics.uci.edu/event/anteater-involvement-fair-4	complete
ngs.ics.uci.edu/photo-stream-segmentation-photo-organization	complete
iasl.ics.uci.edu/people/rahimims	complete
grape.ics.uci.edu/wiki/public/raw-attachment/wiki/cs122a-2016-spring/2016s-cs122a-hw5-template.2.txt	complete
www.ics.uci.edu/community/news/notes_2009	complete
mailman.ics.uci.edu/mailman/listinfo/icsb-mjolsness-tutorial	complete
ngs.ics.uci.edu/growing-old	complete
www.ics.uci.edu/ugrad/advising/ICS New Student Welcome	complete
wics.ics.uci.edu/cia-info-session-with-wics	complete
mailman.ics.uci.edu/mailman/admin/cypress	complete
ngs.ics.uci.edu/geotagging	complete
www.ics.uci.edu/community/news/spotlight_srivastava	complete
ngs.ics.uci.edu/eventweb-14-lifecycle-pre-event-activities	complete
ngs.ics.uci.edu/personal/education	complete
www.ics.uci.edu/community/news/spotlight_welcome_2011	complete
mailman.ics.uci.edu/mailman/listinfo/cypress	complete
www.ics.uci.edu/about/bren_about	complete
ngs.ics.uci.edu/ho-chi-minh-city	complete
www.ics.uci.edu/community/events/openhouse/gallery_04.html	complete
www.ics.uci.edu/faculty/area_scientific	complete
ngs.ics.uci.edu/knowledge-science-4	complete
emj.ics.uci.edu/teaching	complete
ngs.ics.uci.edu/complete-sensual-immersion-holodeck-reality	complete
ngs.ics.uci.edu/knowledge-science-2	complete
ngs.ics.uci.edu/knowledge-science-3	complete
flamingo.ics.uci.edu/releases/docs/StringMapDoc.html	complete
ngs.ics.uci.edu/tag/sharing-photos	complete
www.ics.uci.edu/research.html	complete
www.ics.uci.edu/about/search/search_communications	complete
ngs.ics.uci.edu/entrepreneurship/current-companies	complete
ngs.ics.uci.edu/nagpur-trip-20072	complete
computableplant.ics.uci.edu/gallery/gallery.html	complete
isg.ics.uci.edu/events.html	complete
ngs.ics.uci.edu/pragyan-2010-at-nit-trichy	complete
www.ics.uci.edu/community/news/notes/index.php	complete
ngs.ics.uci.edu/mobile-money-or-power-of-mobile-phones-to-transform	complete
ngs.ics.uci.edu/tag/cyber	complete
wics.ics.uci.edu/event/mock-technical-interview	complete
ngs.ics.uci.edu/observation-systems	complete
wics.ics.uci.edu/first-android-app-development-meeting	complete
ngs.ics.uci.edu/photo-eco-system-digital-cameras	complete
sdcl.ics.uci.edu/2012/11/affinity-diagramming	complete
ngs.ics.uci.edu/camera-with-wifi	complete
grape.ics.uci.edu/wiki/public/raw-attachment/wiki/cs122b-2017-winter-project2/TomcatForm.war	complete
www.ics.uci.edu/%7Ewics/links.html	complete
cradl.ics.uci.edu/globally-distributed-system-developers-their-trust-expectations-and-processes-published-at-cscw-2013	complete
grape.ics.uci.edu/wiki/public/attachment/wiki/cs222p-2018-fall-project3/tree3.svg	complete
grape.ics.uci.edu/wiki/public/attachment/wiki/cs122b-2018-winter-project5/000-default.conf	complete
wics.ics.uci.edu/first-wics-meeting-of-winter-14	complete
ngs.ics.uci.edu/us-universities-setting-outposts	complete
honors.ics.uci.edu/step-3-finding-a-faculty-advisor-and-taking-cs-h198	complete
www.ics.uci.edu/computing/linux/services	complete
sdcl.ics.uci.edu/author/andre/page/8	complete
sdcl.ics.uci.edu/author/andre/page/9	complete
chenli.ics.uci.edu/entrepreneurship	complete
sdcl.ics.uci.edu/author/andre/page/7	complete
sdcl.ics.uci.edu/author/andre/page/4	complete
www.ics.uci.edu/about/bren/bren_advance	complete
sdcl.ics.uci.edu/author/andre/page/2	complete
sdcl.ics.uci.edu/author/andre/page/3	complete
www.ics.uci.edu/ugrad/policies/Change_of_Major	complete
ngs.ics.uci.edu/tag/summarization	complete
wics.ics.uci.edu/events/2018-10-22	complete
swiki.ics.uci.edu/doku.php/projects:maint-winter-2019	complete
ngs.ics.uci.edu/modern-travel-requirements	complete
swiki.ics.uci.edu/doku.php/brownbags	complete
wics.ics.uci.edu/category/news/page/9	complete
wics.ics.uci.edu/category/news/page/8	complete
matt-smith-v2.ics.uci.edu/dutran/wordpress/about	complete
ngs.ics.uci.edu/environment-to-environment-e2e-communication	complete
ngs.ics.uci.edu/photo-album-2015-breaking-the-boundaries	complete
www.ics.uci.edu/about/2005-06	complete
wics.ics.uci.edu/category/news/page/3	complete
wics.ics.uci.edu/category/news/page/2	complete
wics.ics.uci.edu/category/news/page/5	complete
grape.ics.uci.edu/wiki/public/attachment/wiki/cs122b-2017-spring-project1/JDBC2.java	complete
sherlock.ics.uci.edu/people.html	complete
grape.ics.uci.edu/wiki/public/raw-attachment/wiki/cs122b-2017-spring-project5/000-default.conf	complete
www.ics.uci.edu/community/news/spotlight_scacchi_distinguished_alumnus_award	complete
grape.ics.uci.edu/wiki/public/wiki/cs122b-2017-spring	complete
grape.ics.uci.edu/wiki/public/attachment/wiki/cs122b-2018-spring-project5/query_load.txt	complete
sdcl.ics.uci.edu/2015/06/end-of-quarter-lunch-2	complete
wics.ics.uci.edu/wics-is-invited-to-western-digital	complete
ngs.ics.uci.edu/the-nets-next-10-years	complete
grape.ics.uci.edu/wiki/public/raw-attachment/wiki/cs122b-2017-winter-project5/TomcatTest.war	complete
grape.ics.uci.edu/wiki/public/wiki/cs122b-2012-spring	complete
www.ics.uci.edu/community/news/spotlight_hornick	complete
www.ics.uci.edu/community/news/spotlight_gibas	complete
ngs.ics.uci.edu/411	complete
ngs.ics.uci.edu/search-andor-media	complete
wics.ics.uci.edu/events/2018-02-05	complete
